split,id,question_tokens,context_tokens
train,162,28,140465
train,163,22,148231
train,164,23,117280
train,165,21,166431
train,166,12,174185
train,167,15,131703
train,168,24,166630
train,169,14,619012
train,170,16,152448
train,171,13,116216
train,172,18,119808
train,173,25,156192
train,174,11,296023
train,175,16,598903
train,176,15,267775
train,177,11,386682
train,178,15,429393
train,179,17,128995
train,180,21,140498
train,181,18,415396
train,182,23,140401
train,183,12,128995
train,184,16,130284
train,185,13,197302
train,186,22,115371
train,187,17,195211
train,188,35,189896
train,189,17,156192
train,190,15,127896
train,191,14,574851
train,192,15,224862
train,193,19,166764
train,194,37,114865
train,195,18,177004
train,196,14,163260
train,197,10,148290
train,198,21,114608
train,199,17,153161
train,200,20,598903
train,201,18,379100
train,202,22,140739
train,203,21,105207
train,204,20,173281
train,205,20,88806
train,206,14,133565
train,207,22,154229
train,208,11,624886
train,209,13,202694
train,210,41,212443
train,211,11,124246
train,212,32,158521
train,213,16,140401
train,214,21,284083
train,215,13,124112
train,216,13,162383
train,217,24,173651
train,218,14,452511
train,219,16,92078
train,220,29,189738
train,221,15,115325
train,222,15,153161
train,223,11,156192
train,224,18,232175
train,225,18,574851
train,226,24,151173
train,227,27,153843
train,228,22,157145
train,229,22,133565
train,230,15,177004
train,231,25,65702
train,232,23,114608
train,233,11,370826
train,234,20,156087
train,235,17,132064
train,236,35,130132
train,237,20,126633
train,238,31,214920
train,239,15,144411
train,240,9,308276
train,241,19,311490
train,242,17,157145
train,243,22,114523
train,244,15,429393
train,245,8,118906
train,246,24,62251
train,247,10,216446
train,248,8,221613
train,249,25,136333
train,250,9,182928
train,251,18,218403
train,252,13,131895
train,253,11,170555
train,254,21,217914
train,255,16,114432
train,256,26,624886
train,257,13,288105
train,258,11,141333
train,259,18,302342
train,260,39,422047
train,261,11,218403
train,262,11,112234
train,263,15,150049
train,264,20,119932
train,265,11,174667
train,266,17,149047
train,267,18,574851
train,268,14,173651
train,269,16,200824
train,270,14,156192
train,271,13,535797
train,272,20,164387
train,273,16,221122
train,274,25,415396
train,275,10,130132
train,276,21,140462
train,277,11,188481
train,278,21,176922
train,279,10,118903
train,280,29,71522
train,281,20,502537
train,282,17,131895
train,283,21,619510
train,284,16,202550
train,285,26,139037
train,286,15,173651
train,287,27,189577
train,288,10,144378
train,289,15,132064
train,290,16,183113
train,291,19,144130
train,292,12,393264
train,293,18,176385
train,294,19,186656
train,295,18,198218
train,296,13,102718
train,297,14,221122
train,298,14,173428
train,299,27,500644
train,300,18,124839
train,301,26,200057
train,302,21,314900
train,303,41,314900
train,304,9,160130
train,305,34,149077
train,306,15,104235
train,307,18,140462
train,308,22,105542
train,309,13,166630
train,310,15,56535
train,311,12,210551
train,312,16,171701
train,313,18,287497
train,314,15,598903
train,315,15,151332
train,316,14,312951
train,317,17,142002
train,318,20,140138
train,319,16,186201
train,320,41,314900
train,321,18,422047
train,322,11,99269
train,323,29,154323
train,324,20,61221
train,325,33,146535
train,326,28,178262
train,327,20,173281
train,328,16,147711
train,329,14,183869
train,330,36,105542
train,331,19,335188
train,332,14,379100
train,333,13,174667
train,334,17,102291
train,335,38,170165
train,336,15,201137
train,337,19,502537
train,338,21,423781
train,339,29,313718
train,340,17,417328
train,341,16,130041
train,342,15,201660
train,343,13,193863
train,344,16,112731
train,345,9,181205
train,346,14,104524
train,347,13,148231
train,348,32,469639
train,349,12,160130
train,350,15,123160
train,351,19,176385
train,352,16,103690
train,353,17,156192
train,354,19,270007
train,355,26,420845
train,356,17,137486
train,357,19,624886
train,358,13,201137
train,359,17,209311
train,360,20,312951
train,361,25,184886
train,362,16,179005
train,363,15,128348
train,364,18,137486
train,365,20,125291
train,366,22,183113
train,367,14,128119
train,368,24,296023
train,369,76,124148
train,370,22,178613
train,371,18,199496
train,372,17,140462
train,373,15,188481
train,374,25,186656
train,375,14,619510
train,376,31,122646
train,377,12,171716
train,378,16,173651
train,379,17,131550
train,380,24,212443
train,381,17,156192
train,382,23,154303
train,383,47,308239
train,384,11,116216
train,385,34,469639
train,386,20,76867
train,387,8,196563
train,388,9,202694
train,389,24,195249
train,390,13,156371
train,391,14,111663
train,392,21,170477
train,393,19,128119
train,394,19,311490
train,395,13,574851
train,396,32,466112
train,397,14,154465
train,398,20,314900
train,399,15,167267
train,400,11,115266
train,401,11,154238
train,402,14,118413
train,403,16,193863
train,404,31,111617
train,405,13,598903
train,406,13,199241
train,407,42,205520
train,408,13,201137
train,409,16,149327
train,410,14,619510
train,411,16,194278
train,412,12,500130
train,413,15,183715
train,414,21,109058
train,415,14,170477
train,416,29,142122
train,417,13,202403
train,418,14,114523
train,419,24,182965
train,420,11,339755
train,421,21,171701
train,422,24,177004
train,423,13,116580
train,424,14,56535
train,425,35,314900
train,426,10,227546
train,427,15,87636
train,428,25,79690
train,429,17,216446
train,430,14,111853
train,431,17,140739
train,432,12,284083
train,433,23,386682
train,434,20,227366
train,435,16,314900
train,436,40,140754
train,437,15,161970
train,438,16,156339
train,439,19,270152
train,440,21,231791
train,441,21,227366
train,442,26,185708
train,443,19,296023
train,444,13,125297
train,445,15,131550
train,446,25,205642
train,447,14,223714
train,448,27,179639
train,449,12,159913
train,450,13,116216
train,451,18,396888
train,452,18,188481
train,453,17,140754
train,454,17,66970
train,455,26,130750
train,456,18,174185
train,457,11,149077
train,458,20,139945
train,459,23,111469
train,460,18,115975
train,461,21,173428
train,462,21,619510
train,463,14,137840
train,464,41,500644
train,465,17,276350
train,466,17,624886
train,467,16,215711
train,468,30,212443
train,469,21,172629
train,470,19,173896
train,471,18,150259
train,472,17,143472
train,473,16,149327
train,474,19,199241
train,475,13,311878
train,476,15,166630
train,477,23,469639
train,478,16,173651
train,479,13,150546
train,480,31,101098
train,481,14,216446
train,482,22,178991
train,483,14,140754
train,484,18,280792
train,485,24,62251
train,486,18,204100
train,487,24,206060
train,488,13,74077
train,489,29,195837
train,490,13,77661
train,491,15,325757
train,492,19,115046
train,493,19,125291
train,494,16,147643
train,495,26,108178
train,496,24,199241
train,497,14,201660
train,498,17,173158
train,499,18,343678
train,500,15,199171
train,501,24,183620
train,502,15,212595
train,503,9,104662
train,504,10,118347
train,505,15,173227
train,506,20,122520
train,507,27,118906
train,508,16,159913
train,509,18,114523
train,510,18,163808
train,511,16,141186
train,512,21,608592
train,513,17,157145
train,514,19,599477
train,515,15,598903
train,516,21,164591
train,517,14,65702
train,518,33,212443
train,519,14,276350
train,520,17,183869
train,521,16,138136
train,522,37,176385
train,523,13,130750
train,524,9,183715
train,525,10,144378
train,526,10,151332
train,527,15,183113
train,528,11,284083
train,529,19,152329
train,530,37,160130
train,531,17,114608
train,532,20,281193
train,533,26,396888
train,534,17,147711
train,535,28,139026
train,536,12,116216
train,537,11,115975
train,538,21,288105
train,539,21,111663
train,540,15,123160
train,541,19,118906
train,542,20,156371
train,543,18,325757
train,544,15,164792
train,545,21,186656
train,546,15,178215
train,547,16,308239
train,548,27,140401
train,549,35,186325
train,550,15,196563
train,551,12,343678
train,552,18,158428
train,553,14,161833
train,554,33,134529
train,555,15,157931
train,556,26,196563
train,557,18,198218
train,558,12,183869
train,559,20,574851
train,560,9,296023
train,561,23,115388
train,562,18,296023
train,563,22,118903
train,564,13,183869
train,565,22,396888
train,566,15,111731
train,567,24,287497
train,568,12,188481
train,569,21,178049
train,570,12,156087
train,571,23,574851
train,572,21,79690
train,573,17,164387
train,574,25,113782
train,575,15,500130
train,576,25,172471
train,577,20,163808
train,578,23,205217
train,579,26,105542
train,580,17,156192
train,581,48,119808
train,582,33,199496
train,583,30,146535
train,584,30,65702
train,585,11,116216
train,586,13,149379
train,587,19,319837
train,588,23,118347
train,589,26,302342
train,590,25,169460
train,591,23,227546
train,592,19,114263
train,593,16,146550
train,594,15,185883
train,595,29,132513
train,596,22,343678
train,597,17,220177
train,598,25,163808
train,599,17,153221
train,600,13,183869
train,601,13,223714
train,602,17,109730
train,603,16,94406
train,604,23,227366
train,605,15,619510
train,606,28,114523
train,607,15,296023
train,608,17,339755
train,609,12,190164
train,610,21,122105
train,611,16,184886
train,612,18,204100
train,613,30,415396
train,614,33,163808
train,615,17,270007
train,616,21,276350
train,617,13,211926
train,618,16,155639
train,619,19,154167
train,620,61,343678
train,621,9,118906
train,622,18,212859
train,623,20,132064
train,624,32,154182
train,625,53,132041
train,626,20,194660
train,627,15,287497
train,628,21,154182
train,629,18,619510
train,630,19,624886
train,631,15,305702
train,632,19,186325
train,633,18,151806
train,634,13,143472
train,635,17,150259
train,636,19,574851
train,637,18,189070
train,638,28,166630
train,639,12,199241
train,640,27,117280
train,641,20,101583
train,642,41,211062
train,643,18,94114
train,644,17,284083
train,645,16,155639
train,646,16,107998
train,647,14,94255
train,648,14,325757
train,649,30,78966
train,650,23,186201
train,651,11,161970
train,652,18,345690
train,653,20,114746
train,654,21,154323
train,655,19,160114
train,656,14,194278
train,657,12,127889
train,658,15,176922
train,659,15,153843
train,660,15,156192
train,661,17,146535
train,662,17,194660
train,663,21,314900
train,664,11,173254
train,665,7,199241
train,666,19,156568
train,667,21,115325
train,668,13,114995
train,669,14,144378
train,670,19,195208
train,671,10,164591
train,672,14,422047
train,673,21,155639
train,674,23,132513
train,675,33,152329
train,676,12,140823
train,677,27,153843
train,678,13,206060
train,679,11,184886
train,680,14,126350
train,681,17,194278
train,682,18,154465
train,683,13,91361
train,684,25,186656
train,685,26,422047
train,686,17,186201
train,687,10,173651
train,688,55,155639
train,689,13,171496
train,690,8,221613
train,691,14,199241
train,692,17,299378
train,693,14,452511
train,694,15,199171
train,695,14,433127
train,696,13,227366
train,697,19,205520
train,698,25,115321
train,699,15,99606
train,700,18,314900
train,701,16,122646
train,702,17,154337
train,703,13,125297
train,704,18,151173
train,705,20,149327
train,706,17,224862
train,707,26,65702
train,708,15,118413
train,709,16,110599
train,710,13,619510
train,711,17,108172
train,712,11,574851
train,713,18,135452
train,714,18,133558
train,715,22,183921
train,716,20,103955
train,717,32,420845
train,718,18,119932
train,719,13,156568
train,720,25,125297
train,721,16,303718
train,722,27,133136
train,723,19,153495
train,724,11,195208
train,725,28,624886
train,726,17,311369
train,727,15,151806
train,728,23,163808
train,729,12,227546
train,730,13,124093
train,731,9,118906
train,732,21,599477
train,733,25,270007
train,734,38,311490
train,735,25,151806
train,736,21,154323
train,737,17,598903
train,738,15,203264
train,739,17,133558
train,740,18,89526
train,741,13,216446
train,742,17,311490
train,743,19,82187
train,744,15,94114
train,745,13,227546
train,746,18,124839
train,747,14,189414
train,748,15,144411
train,749,34,164591
train,750,28,99687
train,751,20,115266
train,752,16,179284
train,753,23,173281
train,754,17,151173
train,755,18,185538
train,756,18,469639
train,757,30,423781
train,758,18,221122
train,759,12,89526
train,760,18,433127
train,761,18,153843
train,762,22,598903
train,763,42,423781
train,764,19,199241
train,765,19,426647
train,766,23,420845
train,767,8,228290
train,768,18,201660
train,769,14,484238
train,770,16,624886
train,771,10,151332
train,772,11,178613
train,773,27,74077
train,774,15,86067
train,775,15,114608
train,776,21,422047
train,777,18,147711
train,778,14,193178
train,779,27,288105
train,780,20,202550
train,781,12,153843
train,782,19,173651
train,783,18,367971
train,784,13,154323
train,785,23,183715
train,786,22,624886
train,787,16,105542
train,788,19,79690
train,789,24,200624
train,790,15,78257
train,791,21,328164
train,792,14,131874
train,793,19,164387
train,794,13,178215
train,795,16,140138
train,796,20,328164
train,797,14,311878
train,798,25,535797
train,799,14,155764
train,800,15,144411
train,801,11,209311
train,802,29,131703
train,803,14,166886
train,804,23,99606
train,805,15,232175
train,806,18,154337
train,807,18,598903
train,808,18,154182
train,809,30,163517
train,810,13,118347
train,811,13,145371
train,812,15,181614
train,813,13,137096
train,814,10,115371
train,815,30,174185
train,816,29,154516
train,817,12,163260
train,818,14,186325
train,819,23,308276
train,820,29,186325
train,821,16,223714
train,822,14,98509
train,823,23,624886
train,824,10,176290
train,825,14,190164
train,826,9,227546
train,827,12,166431
train,828,25,140498
train,829,13,202694
train,830,18,207631
train,831,8,160599
train,832,43,145998
train,833,18,598903
train,834,27,220177
train,835,13,86067
train,836,20,624886
train,837,18,116565
train,838,25,328164
train,839,12,156371
train,840,14,314900
train,841,22,180788
train,842,25,151806
train,843,23,111663
train,844,11,227546
train,845,23,270152
train,846,23,429393
train,847,20,153389
train,848,13,311490
train,849,13,173158
train,850,22,91399
train,851,15,173227
train,852,16,325757
train,853,15,183715
train,854,20,224862
train,855,22,62251
train,856,13,218403
train,857,20,311490
train,858,18,137840
train,859,21,136333
train,860,17,379100
train,861,14,105207
train,862,23,148548
train,863,15,147949
train,864,13,154229
train,865,16,429393
train,866,14,484238
train,867,17,171701
train,868,14,233610
train,869,17,163517
train,870,20,426647
train,871,14,141333
train,872,15,232175
train,873,18,173158
train,874,22,157931
train,875,12,199496
train,876,28,116565
train,877,11,140823
train,878,13,100720
train,879,25,126358
train,880,15,143472
train,881,9,130132
train,882,20,152453
train,883,20,500130
train,884,15,163517
train,885,18,158521
train,886,17,261716
train,887,39,133565
train,888,11,183113
train,889,21,126358
train,890,27,426647
train,891,17,110599
train,892,13,339755
train,893,26,311490
train,894,18,598903
train,895,40,146848
train,896,36,152453
train,897,18,184456
train,898,24,269238
train,899,11,166630
train,900,15,183113
train,901,20,140138
train,902,17,177269
train,903,15,128084
train,904,16,312951
train,905,20,134487
train,906,27,200434
train,907,17,420845
train,908,23,352420
train,909,17,94255
train,910,25,325757
train,911,16,113575
train,912,16,114642
train,913,20,352420
train,914,19,192243
train,915,22,152329
train,916,14,128084
train,917,17,203750
train,918,16,154323
train,919,27,122520
train,920,18,166630
train,921,21,148231
train,922,21,186201
train,923,16,288105
train,924,29,91361
train,925,17,126358
train,926,16,154125
train,927,16,379100
train,928,18,135452
train,929,13,156087
train,930,16,619510
train,931,19,429393
train,932,32,535797
train,933,23,198768
train,934,17,164715
train,935,30,484238
train,936,13,426647
train,937,49,119808
train,938,25,311490
train,939,11,212595
train,940,15,110233
train,941,15,127043
train,942,13,624886
train,943,15,127896
train,944,22,136333
train,945,13,110599
train,946,21,205520
train,947,14,144102
train,948,17,139945
train,949,17,202414
train,950,17,155645
train,951,13,155764
train,952,28,199241
train,953,12,150546
train,954,22,179905
train,955,11,223714
train,956,11,232175
train,957,13,125291
train,958,18,140739
train,959,13,151806
train,960,21,574851
train,961,10,156690
train,962,23,206826
train,963,16,500130
train,964,13,484238
train,965,18,173651
train,966,19,174073
train,967,38,384927
train,968,9,193863
train,969,20,270007
train,970,20,132880
train,971,13,115821
train,972,35,186656
train,973,18,500130
train,974,18,311369
train,975,14,140498
train,976,21,194278
train,977,13,598903
train,978,18,574851
train,979,13,624886
train,980,9,288105
train,981,18,202414
train,982,15,148493
train,983,20,574851
train,984,13,183715
train,985,16,141186
train,986,22,130132
train,987,15,200624
train,988,23,112234
train,989,12,195211
train,990,18,202414
train,991,17,624886
train,992,16,133565
train,993,12,151885
train,994,17,112912
train,995,37,170477
train,996,24,112703
train,997,25,151806
train,998,9,137486
train,999,28,147091
train,1000,19,598903
train,1001,14,379100
train,1002,41,147921
train,1003,11,619510
train,1004,21,291809
train,1005,19,270152
train,1006,12,166886
train,1007,25,339755
train,1008,22,153389
train,1009,14,105207
train,1010,11,115371
train,1011,24,170477
train,1012,22,115016
train,1013,18,429393
train,1014,28,152329
train,1015,13,200824
train,1016,20,345690
train,1017,15,199241
train,1018,20,199474
train,1019,12,415396
train,1020,14,129350
train,1021,16,130284
train,1022,16,144130
train,1023,10,130284
train,1024,19,183869
train,1025,22,535797
train,1026,14,105542
train,1027,27,189896
train,1028,28,193863
train,1029,15,186201
train,1030,25,500644
train,1031,14,140462
train,1032,13,129929
train,1033,10,189414
train,1034,12,199171
train,1035,23,422047
train,1036,25,171118
train,1037,25,189896
train,1038,18,76511
train,1039,14,161970
train,1040,25,195249
train,1041,19,204870
train,1042,10,141333
train,1043,25,170477
train,1044,20,64257
train,1045,14,574851
train,1046,14,173651
train,1047,18,173428
train,1048,11,111663
train,1049,14,291809
train,1050,11,386682
train,1051,13,114432
train,1052,19,426647
train,1053,24,127043
train,1054,12,90732
train,1055,14,308239
train,1056,19,308276
train,1057,17,189070
train,1058,21,223714
train,1059,36,176476
train,1060,24,313718
train,1061,15,291809
train,1062,16,314900
train,1063,12,253838
train,1064,22,102291
train,1065,14,270152
train,1066,22,140754
train,1067,15,137486
train,1068,32,238084
train,1069,13,131550
train,1070,18,173428
train,1071,16,144378
train,1072,13,415396
train,1073,15,608592
train,1074,30,202694
train,1075,17,153221
train,1076,13,365390
train,1077,16,226462
train,1078,24,210288
train,1079,11,574851
train,1080,14,386682
train,1081,14,380826
train,1082,19,146642
train,1083,17,216446
train,1084,22,231791
train,1085,16,176290
train,1086,12,345690
train,1087,20,165318
train,1088,49,619510
train,1089,30,314900
train,1090,11,115266
train,1091,22,216446
train,1092,28,535797
train,1093,23,305702
train,1094,23,166208
train,1095,20,189896
train,1096,17,138136
train,1097,10,153221
train,1098,13,104235
train,1099,11,374825
train,1100,23,153843
train,1101,16,183921
train,1102,16,619012
train,1103,14,143043
train,1104,11,108178
train,1105,19,156192
train,1106,19,451440
train,1107,13,222172
train,1108,24,153843
train,1109,19,102702
train,1110,33,154323
train,1111,34,423781
train,1112,18,115388
train,1113,21,500130
train,1114,44,157931
train,1115,16,203750
train,1116,15,216446
train,1117,14,154229
train,1118,19,199241
train,1119,11,118903
train,1120,12,288105
train,1121,28,384927
train,1122,27,126350
train,1123,11,106617
train,1124,19,156371
train,1125,17,152420
train,1126,13,172471
train,1127,13,66069
train,1128,11,160130
train,1129,34,132064
train,1130,19,393264
train,1131,20,199171
train,1132,16,134487
train,1133,15,152504
train,1134,14,82754
train,1135,19,155639
train,1136,13,174667
train,1137,19,426647
train,1138,38,554192
train,1139,15,151806
train,1140,20,328164
train,1141,18,426647
train,1142,25,554192
train,1143,26,291809
train,1144,16,205520
train,1145,19,129350
train,1146,20,345690
train,1147,22,173428
train,1148,33,146535
train,1149,18,106848
train,1150,21,211926
train,1151,15,140754
train,1152,42,319837
train,1153,16,221122
train,1154,17,260485
train,1155,17,218403
train,1156,16,127889
train,1157,33,102291
train,1158,28,132768
train,1159,17,121962
train,1160,17,124601
train,1161,17,148353
train,1162,18,143472
train,1163,21,112342
train,1164,16,115325
train,1165,14,144102
train,1166,30,302342
train,1167,18,71522
train,1168,13,163260
train,1169,20,415396
train,1170,20,150546
train,1171,12,118413
train,1172,15,137096
train,1173,24,267775
train,1174,21,199241
train,1175,26,200624
train,1176,15,66970
train,1177,15,115325
train,1178,17,279149
train,1179,23,160114
train,1180,19,415396
train,1181,14,415396
train,1182,20,314900
train,1183,22,183113
train,1184,14,154303
train,1185,18,302342
train,1186,13,201660
train,1187,13,116216
train,1188,15,151806
train,1189,20,220177
train,1190,17,163517
train,1191,24,156568
train,1192,20,79121
train,1193,17,156192
train,1194,16,94114
train,1195,13,118903
train,1196,25,178262
train,1197,18,166630
train,1198,8,152445
train,1199,17,203750
train,1200,14,154323
train,1201,35,136681
train,1202,21,574851
train,1203,26,151225
train,1204,17,173281
train,1205,34,156339
train,1206,16,111731
train,1207,25,115016
train,1208,12,291809
train,1209,12,599477
train,1210,22,186656
train,1211,10,106617
train,1212,15,189896
train,1213,18,619012
train,1214,19,163774
train,1215,13,128995
train,1216,18,130750
train,1217,15,173254
train,1218,23,574851
train,1219,22,279149
train,1220,12,115681
train,1221,15,174185
train,1222,19,415396
train,1223,13,216446
train,1224,25,196563
train,1225,22,201660
train,1226,20,429393
train,1227,32,147711
train,1228,37,135452
train,1229,17,156192
train,1230,19,212595
train,1231,46,151885
train,1232,22,179905
train,1233,22,154465
train,1234,16,178049
train,1235,13,598903
train,1236,19,216446
train,1237,27,118906
train,1238,27,429393
train,1239,20,367971
train,1240,12,94114
train,1241,20,328164
train,1242,18,183715
train,1243,11,132422
train,1244,16,118347
train,1245,21,429393
train,1246,39,260485
train,1247,10,325757
train,1248,16,116983
train,1249,19,325757
train,1250,15,201137
train,1251,20,155639
train,1252,14,56535
train,1253,12,314900
train,1254,19,163808
train,1255,25,56535
train,1256,18,171716
train,1257,13,311490
train,1258,12,216446
train,1259,14,103395
train,1260,13,330935
train,1261,24,184680
train,1262,14,196913
train,1263,20,79121
train,1264,20,179284
train,1265,19,193863
train,1266,20,312951
train,1267,13,205520
train,1268,19,345690
train,1269,13,147711
train,1270,12,151259
train,1271,40,132880
train,1272,20,227546
train,1273,30,130750
train,1274,12,104669
train,1275,20,154465
train,1276,29,186325
train,1277,13,66069
train,1278,16,179284
train,1279,16,113575
train,1280,12,110599
train,1281,16,619510
train,1282,13,179005
train,1283,33,554192
train,1284,15,197302
train,1285,17,205520
train,1286,21,170555
train,1287,29,608592
train,1288,23,157931
train,1289,13,288105
train,1290,23,184886
train,1291,15,170477
train,1292,15,125297
train,1293,24,108178
train,1294,16,157145
train,1295,13,233610
train,1296,14,200824
train,1297,22,124148
train,1298,23,122646
train,1299,14,189414
train,1300,40,146848
train,1301,13,173254
train,1302,32,185538
train,1303,16,151332
train,1304,42,415396
train,1305,13,155868
train,1306,10,151806
train,1307,10,99269
train,1308,14,196258
train,1309,14,314900
train,1310,36,163774
train,1311,14,150049
train,1312,27,154465
train,1313,17,343678
train,1314,25,186656
train,1315,13,210551
train,1316,16,76867
train,1317,15,160114
train,1318,25,182965
train,1319,17,624886
train,1320,29,176385
train,1321,15,154182
train,1322,17,124148
train,1323,24,433127
train,1324,18,194562
train,1325,19,200624
train,1326,16,190836
train,1327,15,117280
train,1328,16,179639
train,1329,21,433127
train,1330,21,126358
train,1331,35,117280
train,1332,23,173227
train,1333,11,166630
train,1334,15,189414
train,1335,21,619510
train,1336,24,186656
train,1337,17,151806
train,1338,13,251490
train,1339,15,202694
train,1340,13,199171
train,1341,23,140401
train,1342,18,608592
train,1343,13,291809
train,1344,15,212595
train,1345,24,220177
train,1346,28,136681
train,1347,23,429393
train,1348,26,116216
train,1349,15,574851
train,1350,40,176460
train,1351,13,105542
train,1352,37,141186
train,1353,13,56535
train,1354,14,153389
train,1355,45,150546
train,1356,16,166764
train,1357,17,115975
train,1358,15,205520
train,1359,12,598903
train,1360,37,183715
train,1361,15,129418
train,1362,25,624886
train,1363,21,197457
train,1364,17,140754
train,1365,27,140739
train,1366,20,284083
train,1367,34,162531
train,1368,22,222172
train,1369,12,56535
train,1370,23,160114
train,1371,25,132451
train,1372,17,500644
train,1373,24,283811
train,1374,12,122520
train,1375,24,139026
train,1376,21,166630
train,1377,21,165361
train,1378,25,200057
train,1379,22,90732
train,1380,12,199496
train,1381,25,65702
train,1382,26,153221
train,1383,15,608592
train,1384,17,221122
train,1385,13,106617
train,1386,15,86067
train,1387,30,125291
train,1388,31,150259
train,1389,22,171118
train,1390,30,451440
train,1391,18,110233
train,1392,10,130132
train,1393,26,148548
train,1394,20,202694
train,1395,14,115681
train,1396,22,500130
train,1397,21,415396
train,1398,29,199241
train,1399,15,106848
train,1400,26,160161
train,1401,23,116759
train,1402,14,137486
train,1403,16,193863
train,1404,15,61221
train,1405,12,393264
train,1406,21,343678
train,1407,17,270152
train,1408,16,574851
train,1409,26,574851
train,1410,17,113782
train,1411,13,115266
train,1412,21,137096
train,1413,17,619510
train,1414,16,183113
train,1415,16,598903
train,1416,14,170228
train,1417,18,608592
train,1418,19,183113
train,1419,26,469639
train,1420,20,77608
train,1421,19,128119
train,1422,20,186201
train,1423,29,429393
train,1424,22,291809
train,1425,11,134487
train,1426,22,311490
train,1427,19,105207
train,1428,17,312951
train,1429,25,129418
train,1430,13,466112
train,1431,16,186201
train,1432,13,128119
train,1433,15,288105
train,1434,17,146550
train,1435,21,193863
train,1436,17,221122
train,1437,22,178262
train,1438,16,86067
train,1439,13,136954
train,1440,18,152448
train,1441,17,386682
train,1442,20,554192
train,1443,41,212443
train,1444,13,155639
train,1445,16,65702
train,1446,10,132422
train,1447,13,196258
train,1448,12,202694
train,1449,19,182928
train,1450,24,270007
train,1451,37,82117
train,1452,17,111617
train,1453,16,154323
train,1454,22,150097
train,1455,25,469639
train,1456,20,202694
train,1457,20,177004
train,1458,20,109058
train,1459,25,195208
train,1460,18,466112
train,1461,24,171118
train,1462,18,128119
train,1463,21,108984
train,1464,21,202694
train,1465,17,624886
train,1466,18,152448
train,1467,21,426647
train,1468,19,169491
train,1469,19,182965
train,1470,34,365390
train,1471,19,199241
train,1472,14,287497
train,1473,13,195249
train,1474,16,270152
train,1475,20,154465
train,1476,29,110233
train,1477,24,224958
train,1478,36,624886
train,1479,12,139945
train,1480,18,147921
train,1481,11,207985
train,1482,18,308239
train,1483,16,574851
train,1484,17,171201
train,1485,15,212704
train,1486,29,186656
train,1487,15,146848
train,1488,21,167267
train,1489,20,170441
train,1490,10,598903
train,1491,12,160130
train,1492,38,484238
train,1493,28,153843
train,1494,15,114608
train,1495,15,154182
