split,id,question_tokens,context_tokens
train,139,11,51583
train,140,15,51583
train,141,9,51583
train,142,9,51583
train,143,13,51583
train,144,15,51583
train,145,18,51583
train,146,13,51583
train,147,7,51583
train,148,10,51583
train,149,12,51583
train,150,14,51583
train,151,9,51583
train,152,16,51583
train,153,18,51583
train,154,16,51583
train,155,8,51583
train,156,10,51583
train,157,16,51583
train,158,11,51583
train,159,14,51583
train,160,10,51583
train,161,8,51583
train,162,6,51583
train,163,8,51583
train,164,9,51583
train,165,10,51583
train,166,21,51583
train,167,15,51583
train,168,13,45940
train,169,8,45940
train,170,14,45940
train,171,12,45940
train,172,8,45940
train,173,8,45940
train,174,10,45940
train,175,9,45940
train,176,7,45940
train,177,6,45940
train,178,12,45940
train,179,17,45940
train,180,11,45940
train,181,9,45940
train,182,11,45940
train,183,17,45940
train,184,10,45940
train,185,19,45940
train,186,6,45940
train,187,10,45940
train,188,8,45940
train,189,14,45940
train,190,18,45940
train,191,11,45940
train,192,8,45940
train,193,12,45940
train,194,7,45940
train,195,9,45940
train,196,10,45940
train,197,14,45940
train,198,16,76082
train,199,16,76082
train,200,9,76082
train,201,13,76082
train,202,12,76082
train,203,14,76082
train,204,14,76082
train,205,16,76082
train,206,10,76082
train,207,15,76082
train,208,20,76082
train,209,11,76082
train,210,21,76082
train,211,12,76082
train,212,10,76082
train,213,9,76082
train,214,20,76082
train,215,14,76082
train,216,9,76082
train,217,9,76082
train,218,11,76082
train,219,16,76082
train,220,9,76082
train,221,10,76082
train,222,10,76082
train,223,15,76082
train,224,9,76082
train,225,11,76082
train,226,12,76082
train,227,20,76082
train,228,13,13949
train,229,19,13949
train,230,16,13949
train,231,13,13949
train,232,9,13949
train,233,11,13949
train,234,14,13949
train,235,10,13949
train,236,17,13949
train,237,9,13949
train,238,7,13949
train,239,12,13949
train,240,10,13949
train,241,9,13949
train,242,15,13949
train,243,10,13949
train,244,7,13949
train,245,10,13949
train,246,11,13949
train,247,10,13949
train,248,12,13949
train,249,11,13949
train,250,7,13949
train,251,10,13949
train,252,12,13949
train,253,10,13949
train,254,13,13949
train,255,11,13949
train,256,12,13949
train,257,9,48737
train,258,9,48737
train,259,9,48737
train,260,16,48737
train,261,12,48737
train,262,11,48737
train,263,9,48737
train,264,14,48737
train,265,6,48737
train,266,14,48737
train,267,11,48737
train,268,16,48737
train,269,13,48737
train,270,15,48737
train,271,12,48737
train,272,16,48737
train,273,8,48737
train,274,12,48737
train,275,13,48737
train,276,13,48737
train,277,9,48737
train,278,10,48737
train,279,12,48737
train,280,12,48737
train,281,9,48737
train,282,9,48737
train,283,8,48737
train,284,11,48737
train,285,11,48737
train,286,8,48737
train,287,9,407912
train,288,9,407912
train,289,10,407912
train,290,13,407912
train,291,8,407912
train,292,11,407912
train,293,9,407912
train,294,12,407912
train,295,9,407912
train,296,12,407912
train,297,6,407912
train,298,7,407912
train,299,12,407912
train,300,9,407912
train,301,9,407912
train,302,14,407912
train,303,10,407912
train,304,10,407912
train,305,10,407912
train,306,13,407912
train,307,9,407912
train,308,14,407912
train,309,13,407912
train,310,11,407912
train,311,10,407912
train,312,21,407912
train,313,10,407912
train,314,8,407912
train,315,10,407912
train,316,7,52305
train,317,10,52305
train,318,9,52305
train,319,6,52305
train,320,11,52305
train,321,8,52305
train,322,12,52305
train,323,10,52305
train,324,11,52305
train,325,9,52305
train,326,10,52305
train,327,10,52305
train,328,15,52305
train,329,9,52305
train,330,5,52305
train,331,13,52305
train,332,12,52305
train,333,8,52305
train,334,12,52305
train,335,18,52305
train,336,8,52305
train,337,10,52305
train,338,10,52305
train,339,16,52305
train,340,13,52305
train,341,13,52305
train,342,13,52305
train,343,16,52305
train,344,18,52305
train,345,19,8261
train,346,14,8261
train,347,9,8261
train,348,12,8261
train,349,14,8261
train,350,11,8261
train,351,17,8261
train,352,11,8261
train,353,12,8261
train,354,11,8261
train,355,14,8261
train,356,17,8261
train,357,14,8261
train,358,11,8261
train,359,18,8261
train,360,7,8261
train,361,8,8261
train,362,13,8261
train,363,14,8261
train,364,11,8261
train,365,10,8261
train,366,13,8261
train,367,15,8261
train,368,8,8261
train,369,11,8261
train,370,10,8261
train,371,13,8261
train,372,12,8261
train,373,17,8261
train,374,15,46596
train,375,11,46596
train,376,16,46596
train,377,12,46596
train,378,11,46596
train,379,11,46596
train,380,10,46596
train,381,16,46596
train,382,15,46596
train,383,11,46596
train,384,13,46596
train,385,16,46596
train,386,9,46596
train,387,16,46596
train,388,12,46596
train,389,11,46596
train,390,16,46596
train,391,11,46596
train,392,14,46596
train,393,18,46596
train,394,17,46596
train,395,15,46596
train,396,10,46596
train,397,11,46596
train,398,6,46596
train,399,10,46596
train,400,10,46596
train,401,13,46596
train,402,15,46596
train,403,13,46596
train,404,11,46596
train,405,11,46596
train,406,12,46596
train,407,11,46596
train,408,15,46596
train,409,11,46596
train,410,13,46596
train,411,14,46596
train,412,12,46596
train,413,13,46596
train,414,8,42433
train,415,10,42433
train,416,14,42433
train,417,9,42433
train,418,16,42433
train,419,12,42433
train,420,15,42433
train,421,15,42433
train,422,13,42433
train,423,13,42433
train,424,6,42433
train,425,10,42433
train,426,15,42433
train,427,14,42433
train,428,28,42433
train,429,13,42433
train,430,21,42433
train,431,16,42433
train,432,11,42433
train,433,6,42433
train,434,10,42433
train,435,11,42433
train,436,9,42433
train,437,13,42433
train,438,7,42433
train,439,10,42433
train,440,11,42433
train,441,14,42433
train,442,18,55705
train,443,17,55705
train,444,10,55705
train,445,14,55705
train,446,8,55705
train,447,12,55705
train,448,16,55705
train,449,14,55705
train,450,17,55705
train,451,17,55705
train,452,13,55705
train,453,11,55705
train,454,12,55705
train,455,12,55705
train,456,8,55705
train,457,8,55705
train,458,12,55705
train,459,11,55705
train,460,13,55705
train,461,14,55705
train,462,8,55705
train,463,7,55705
train,464,8,55705
train,465,12,55705
train,466,5,55705
train,467,7,55705
train,468,7,55705
train,469,7,55705
train,470,8,55705
train,471,10,55705
train,472,10,39428
train,473,12,39428
train,474,14,39428
train,475,19,39428
train,476,23,39428
train,477,17,39428
train,478,10,39428
train,479,19,39428
train,480,14,39428
train,481,14,39428
train,482,8,39428
train,483,9,39428
train,484,10,39428
train,485,11,39428
train,486,10,39428
train,487,13,39428
train,488,10,39428
train,489,14,39428
train,490,11,39428
train,491,8,39428
train,492,16,39428
train,493,15,39428
train,494,21,39428
train,495,12,39428
train,496,22,39428
train,497,10,39428
train,498,16,39428
train,499,15,39428
train,500,20,39428
train,501,10,39428
train,502,10,97202
train,503,14,97202
train,504,12,97202
train,505,12,97202
train,506,13,97202
train,507,13,97202
train,508,12,97202
train,509,11,97202
train,510,12,97202
train,511,16,97202
train,512,11,97202
train,513,19,97202
train,514,14,97202
train,515,17,97202
train,516,12,97202
train,517,14,97202
train,518,7,97202
train,519,8,97202
train,520,10,97202
train,521,21,97202
train,522,10,97202
train,523,20,97202
train,524,19,97202
train,525,16,97202
train,526,10,97202
train,527,28,97202
train,528,9,97202
train,529,10,97202
train,530,10,97202
train,531,14,41364
train,532,9,41364
train,533,8,41364
train,534,14,41364
train,535,16,41364
train,536,10,41364
train,537,17,41364
train,538,15,41364
train,539,10,41364
train,540,14,41364
train,541,16,41364
train,542,10,41364
train,543,9,41364
train,544,11,41364
train,545,17,41364
train,546,9,41364
train,547,13,41364
train,548,14,41364
train,549,13,41364
train,550,8,41364
train,551,7,41364
train,552,6,41364
train,553,7,41364
train,554,14,41364
train,555,14,41364
train,556,8,41364
train,557,11,41364
train,558,13,41364
train,559,12,41364
train,560,10,41364
train,561,13,84224
train,562,17,84224
train,563,10,84224
train,564,19,84224
train,565,15,84224
train,566,11,84224
train,567,13,84224
train,568,11,84224
train,569,10,84224
train,570,14,84224
train,571,8,84224
train,572,12,84224
train,573,8,84224
train,574,11,84224
train,575,12,84224
train,576,11,84224
train,577,13,84224
train,578,12,84224
train,579,8,84224
train,580,11,84224
train,581,10,84224
train,582,9,84224
train,583,11,84224
train,584,11,84224
train,585,11,84224
train,586,16,84224
train,587,18,84224
train,588,11,84224
train,589,12,84224
train,590,7,41085
train,591,7,41085
train,592,17,41085
train,593,12,41085
train,594,16,41085
train,595,7,41085
train,596,10,41085
train,597,8,41085
train,598,10,41085
train,599,13,41085
train,600,7,41085
train,601,13,41085
train,602,8,41085
train,603,13,41085
train,604,6,41085
train,605,13,41085
train,606,25,41085
train,607,12,41085
train,608,7,41085
train,609,13,41085
train,610,14,41085
train,611,9,41085
train,612,13,41085
train,613,12,41085
train,614,9,41085
train,615,11,41085
train,616,9,41085
train,617,8,41085
train,618,8,42399
train,619,8,42399
train,620,10,42399
train,621,13,42399
train,622,9,42399
train,623,8,42399
train,624,8,42399
train,625,9,42399
train,626,8,42399
train,627,7,42399
train,628,14,42399
train,629,10,42399
train,630,19,42399
train,631,22,42399
train,632,14,42399
train,633,15,42399
train,634,14,42399
train,635,15,42399
train,636,19,42399
train,637,11,42399
train,638,10,42399
train,639,12,42399
train,640,11,42399
train,641,10,42399
train,642,9,42399
train,643,9,42399
train,644,11,42399
train,645,10,42399
train,646,18,42399
train,647,7,26995
train,648,11,26995
train,649,7,26995
train,650,7,26995
train,651,8,26995
train,652,9,26995
train,653,8,26995
train,654,8,26995
train,655,7,26995
train,656,15,26995
train,657,7,26995
train,658,8,26995
train,659,8,26995
train,660,8,26995
train,661,10,26995
train,662,11,26995
train,663,7,26995
train,664,13,26995
train,665,13,26995
train,666,10,26995
train,667,11,26995
train,668,12,26995
train,669,17,26995
train,670,14,26995
train,671,19,26995
train,672,16,26995
train,673,10,26995
train,674,19,26995
train,675,9,96626
train,676,13,96626
train,677,19,96626
train,678,17,96626
train,679,28,96626
train,680,16,96626
train,681,12,96626
train,682,21,96626
train,683,23,96626
train,684,7,96626
train,685,20,96626
train,686,18,96626
train,687,18,96626
train,688,10,96626
train,689,13,96626
train,690,13,96626
train,691,13,96626
train,692,13,96626
train,693,16,96626
train,694,17,96626
train,695,15,96626
train,696,15,96626
train,697,11,96626
train,698,17,96626
train,699,10,96626
train,700,8,96626
train,701,13,96626
train,702,10,96626
train,703,11,96626
train,704,18,96626
train,705,10,55843
train,706,11,55843
train,707,11,55843
train,708,12,55843
train,709,11,55843
train,710,19,55843
train,711,7,55843
train,712,9,55843
train,713,11,55843
train,714,11,55843
train,715,7,55843
train,716,10,55843
train,717,13,55843
train,718,17,55843
train,719,14,55843
train,720,13,55843
train,721,19,55843
train,722,11,55843
train,723,14,55843
train,724,20,55843
train,725,14,55843
train,726,12,55843
train,727,15,55843
train,728,16,55843
train,729,12,55843
train,730,6,55843
train,731,14,55843
train,732,13,55843
train,733,9,55843
train,734,10,55843
train,735,13,40761
train,736,17,40761
train,737,11,40761
train,738,18,40761
train,739,16,40761
train,740,7,40761
train,741,11,40761
train,742,12,40761
train,743,14,40761
train,744,15,40761
train,745,15,40761
train,746,16,40761
train,747,8,40761
train,748,11,40761
train,749,12,40761
train,750,13,40761
train,751,8,40761
train,752,10,40761
train,753,19,40761
train,754,13,40761
train,755,16,40761
train,756,15,40761
train,757,8,40761
train,758,10,40761
train,759,7,40761
train,760,15,40761
train,761,12,40761
train,762,9,40761
train,763,12,40761
train,764,14,40761
train,765,13,40531
train,766,13,40531
train,767,18,40531
train,768,16,40531
train,769,7,40531
train,770,9,40531
train,771,15,40531
train,772,19,40531
train,773,17,40531
train,774,21,40531
train,775,18,40531
train,776,9,40531
train,777,13,40531
train,778,17,40531
train,779,13,40531
train,780,16,40531
train,781,15,40531
train,782,11,40531
train,783,15,40531
train,784,14,40531
train,785,11,40531
train,786,8,40531
train,787,10,40531
train,788,11,40531
train,789,11,40531
train,790,11,40531
train,791,6,40531
train,792,15,40531
train,793,13,40531
train,794,9,40531
train,795,8,149935
train,796,11,149935
train,797,8,149935
train,798,13,149935
train,799,11,149935
train,800,11,149935
train,801,7,149935
train,802,12,149935
train,803,9,149935
train,804,11,149935
train,805,10,149935
train,806,13,149935
train,807,11,149935
train,808,14,149935
train,809,10,149935
train,810,13,149935
train,811,17,149935
train,812,9,149935
train,813,20,149935
train,814,6,149935
train,815,9,149935
train,816,9,149935
train,817,15,149935
train,818,11,149935
train,819,18,149935
train,820,15,149935
train,821,22,149935
train,822,6,149935
train,823,10,149935
train,824,9,149935
train,825,14,183034
train,826,13,183034
train,827,18,183034
train,828,9,183034
train,829,13,183034
train,830,15,183034
train,831,22,183034
train,832,17,183034
train,833,11,183034
train,834,19,183034
train,835,12,183034
train,836,12,183034
train,837,12,183034
train,838,13,183034
train,839,12,183034
train,840,14,183034
train,841,13,183034
train,842,6,183034
train,843,18,183034
train,844,15,183034
train,845,17,183034
train,846,12,183034
train,847,14,183034
train,848,10,183034
train,849,21,183034
train,850,13,183034
train,851,15,183034
train,852,16,183034
train,853,21,183034
train,854,8,183034
train,855,7,371718
train,856,6,371718
train,857,7,371718
train,858,11,371718
train,859,11,371718
train,860,17,371718
train,861,18,371718
train,862,8,371718
train,863,8,371718
train,864,15,371718
train,865,10,371718
train,866,12,371718
train,867,10,371718
train,868,13,371718
train,869,11,371718
train,870,9,371718
train,871,9,371718
train,872,8,371718
train,873,9,371718
train,874,12,371718
train,875,8,371718
train,876,8,371718
train,877,8,371718
train,878,9,371718
train,879,13,371718
train,880,9,371718
train,881,9,371718
train,882,13,371718
train,883,10,371718
train,884,12,371718
train,885,22,57284
train,886,21,57284
train,887,16,57284
train,888,26,57284
train,889,17,57284
train,890,17,57284
train,891,13,57284
train,892,26,57284
train,893,17,57284
train,894,8,57284
train,895,8,57284
train,896,11,57284
train,897,15,57284
train,898,11,57284
train,899,7,57284
train,900,9,57284
train,901,16,57284
train,902,12,57284
train,903,13,57284
train,904,14,57284
train,905,15,57284
train,906,10,57284
train,907,18,57284
train,908,14,57284
train,909,13,57284
train,910,14,57284
train,911,11,57284
train,912,7,54495
train,913,9,54495
train,914,16,54495
train,915,10,54495
train,916,12,54495
train,917,9,54495
train,918,12,54495
train,919,8,54495
train,920,13,54495
train,921,8,54495
train,922,8,54495
train,923,9,54495
train,924,11,54495
train,925,11,54495
train,926,17,54495
train,927,9,54495
train,928,6,54495
train,929,9,54495
train,930,9,54495
train,931,12,54495
train,932,11,54495
train,933,8,54495
train,934,11,54495
train,935,13,54495
train,936,10,54495
train,937,12,54495
train,938,11,54495
train,939,16,54495
train,940,9,54495
train,941,11,143073
train,942,11,143073
train,943,10,143073
train,944,12,143073
train,945,7,143073
train,946,15,143073
train,947,11,143073
train,948,14,143073
train,949,18,143073
train,950,6,143073
train,951,9,143073
train,952,11,143073
train,953,6,143073
train,954,11,143073
train,955,13,143073
train,956,9,143073
train,957,7,143073
train,958,10,143073
train,959,10,143073
train,960,10,143073
train,961,10,143073
train,962,7,143073
train,963,7,143073
train,964,14,143073
train,965,9,143073
train,966,7,143073
train,967,6,143073
train,968,8,143073
train,969,8,143073
train,970,9,143073
train,971,26,159603
train,972,12,159603
train,973,13,159603
train,974,12,159603
train,975,18,159603
train,976,14,159603
train,977,19,159603
train,978,12,159603
train,979,13,159603
train,980,13,159603
train,981,12,159603
train,982,13,159603
train,983,10,159603
train,984,17,159603
train,985,13,159603
train,986,13,159603
train,987,13,159603
train,988,18,159603
train,989,11,159603
train,990,12,159603
train,991,13,159603
train,992,20,159603
train,993,17,159603
train,994,14,159603
train,995,10,159603
train,996,21,159603
train,997,15,159603
train,998,14,159603
train,999,20,159603
train,1000,12,45924
train,1001,9,45924
train,1002,8,45924
train,1003,15,45924
train,1004,7,45924
train,1005,10,45924
train,1006,9,45924
train,1007,9,45924
train,1008,10,45924
train,1009,12,45924
train,1010,14,45924
train,1011,17,45924
train,1012,10,45924
train,1013,15,45924
train,1014,5,45924
train,1015,12,45924
train,1016,13,45924
train,1017,14,45924
train,1018,14,45924
train,1019,17,45924
train,1020,8,45924
train,1021,10,45924
train,1022,13,45924
train,1023,9,45924
train,1024,9,45924
train,1025,9,45924
train,1026,7,45924
train,1027,7,45924
train,1028,11,45924
train,1029,22,58514
train,1030,23,58514
train,1031,21,58514
train,1032,14,58514
train,1033,12,58514
train,1034,16,58514
train,1035,25,58514
train,1036,12,58514
train,1037,17,58514
train,1038,19,58514
train,1039,15,58514
train,1040,7,58514
train,1041,15,58514
train,1042,13,58514
train,1043,20,58514
train,1044,10,58514
train,1045,9,58514
train,1046,13,58514
train,1047,12,58514
train,1048,8,58514
train,1049,10,58514
train,1050,12,58514
train,1051,9,58514
train,1052,9,58514
train,1053,13,58514
train,1054,10,58514
train,1055,6,58514
train,1056,8,58514
train,1057,8,58514
train,1058,6,29550
train,1059,8,29550
train,1060,18,29550
train,1061,11,29550
train,1062,14,29550
train,1063,16,29550
train,1064,16,29550
train,1065,15,29550
train,1066,28,29550
train,1067,7,29550
train,1068,10,29550
train,1069,11,29550
train,1070,14,29550
train,1071,14,29550
train,1072,14,29550
train,1073,10,29550
train,1074,6,29550
train,1075,6,29550
train,1076,12,29550
train,1077,8,29550
train,1078,8,29550
train,1079,15,29550
train,1080,12,29550
train,1081,12,29550
train,1082,16,29550
train,1083,9,29550
train,1084,10,29550
train,1085,16,29550
train,1086,22,29550
train,1087,11,29550
train,1088,10,259940
train,1089,9,259940
train,1090,11,259940
train,1091,9,259940
train,1092,8,259940
train,1093,13,259940
train,1094,12,259940
train,1095,9,259940
train,1096,9,259940
train,1097,9,259940
train,1098,12,259940
train,1099,12,259940
train,1100,10,259940
train,1101,12,259940
train,1102,9,259940
train,1103,8,259940
train,1104,9,259940
train,1105,13,259940
train,1106,12,259940
train,1107,9,259940
train,1108,10,259940
train,1109,9,259940
train,1110,7,259940
train,1111,10,259940
train,1112,11,259940
train,1113,6,259940
train,1114,9,259940
train,1115,10,259940
train,1116,12,5983
train,1117,13,5983
train,1118,12,5983
train,1119,12,5983
train,1120,9,5983
train,1121,9,5983
train,1122,14,5983
train,1123,15,5983
train,1124,10,5983
train,1125,8,5983
train,1126,13,5983
train,1127,11,5983
train,1128,9,5983
train,1129,11,5983
train,1130,9,5983
train,1131,12,5983
train,1132,10,5983
train,1133,8,5983
train,1134,9,5983
train,1135,11,5983
train,1136,13,5983
train,1137,11,5983
train,1138,11,5983
train,1139,8,5983
train,1140,9,5983
train,1141,13,5983
train,1142,15,5983
train,1143,12,5983
train,1144,8,5983
train,1145,19,5983
train,1146,7,4280
train,1147,9,4280
train,1148,9,4280
train,1149,14,4280
train,1150,9,4280
train,1151,12,4280
train,1152,6,4280
train,1153,12,4280
train,1154,12,4280
train,1155,8,4280
train,1156,12,4280
train,1157,14,4280
train,1158,9,4280
train,1159,15,4280
train,1160,13,4280
train,1161,22,4280
train,1162,9,4280
train,1163,21,4280
train,1164,10,4280
train,1165,23,4280
train,1166,11,4280
train,1167,10,4280
train,1168,11,4280
train,1169,6,4280
train,1170,16,4280
train,1171,10,4280
train,1172,14,4280
train,1173,13,4280
train,1174,13,4280
train,1175,6,4280
train,1176,9,59277
train,1177,21,59277
train,1178,12,59277
train,1179,16,59277
train,1180,16,59277
train,1181,9,59277
train,1182,12,59277
train,1183,13,59277
train,1184,10,59277
train,1185,13,59277
train,1186,10,59277
train,1187,19,59277
train,1188,6,59277
train,1189,13,59277
train,1190,17,59277
train,1191,21,59277
train,1192,18,59277
train,1193,11,59277
train,1194,14,59277
train,1195,15,59277
train,1196,16,59277
train,1197,16,59277
train,1198,12,59277
train,1199,14,59277
train,1200,14,59277
train,1201,16,59277
train,1202,8,59277
train,1203,15,59277
train,1204,14,59277
train,1205,14,59277
train,1206,11,56028
train,1207,12,56028
train,1208,16,56028
train,1209,21,56028
train,1210,16,56028
train,1211,18,56028
train,1212,21,56028
train,1213,17,56028
train,1214,17,56028
train,1215,10,56028
train,1216,9,56028
train,1217,12,56028
train,1218,10,56028
train,1219,12,56028
train,1220,10,56028
train,1221,13,56028
train,1222,8,56028
train,1223,10,56028
train,1224,8,56028
train,1225,12,56028
train,1226,8,56028
train,1227,9,56028
train,1228,8,56028
train,1229,8,56028
train,1230,10,56028
train,1231,9,56028
train,1232,10,56028
train,1233,7,56028
train,1234,10,56028
train,1235,15,55048
train,1236,13,55048
train,1237,16,55048
train,1238,7,55048
train,1239,9,55048
train,1240,14,55048
train,1241,26,55048
train,1242,21,55048
train,1243,18,55048
train,1244,10,55048
train,1245,22,55048
train,1246,14,55048
train,1247,13,55048
train,1248,13,55048
train,1249,25,55048
train,1250,11,55048
train,1251,22,55048
train,1252,14,55048
train,1253,18,55048
train,1254,22,55048
train,1255,18,55048
train,1256,21,55048
train,1257,29,55048
train,1258,12,55048
train,1259,18,55048
train,1260,18,55048
train,1261,24,55048
train,1262,12,55048
train,1263,17,55048
train,1264,17,33241
train,1265,16,33241
train,1266,23,33241
train,1267,14,33241
train,1268,14,33241
train,1269,9,33241
train,1270,15,33241
train,1271,12,33241
train,1272,6,33241
train,1273,24,33241
train,1274,7,33241
train,1275,10,33241
train,1276,13,33241
train,1277,11,33241
train,1278,13,33241
train,1279,14,33241
train,1280,15,33241
train,1281,12,33241
train,1282,11,33241
train,1283,6,33241
train,1284,8,33241
train,1285,10,33241
train,1286,9,33241
train,1287,8,33241
train,1288,9,33241
train,1289,9,33241
train,1290,8,33241
train,1291,7,33241
train,1292,9,33241
train,1293,11,79678
train,1294,11,79678
train,1295,10,79678
train,1296,9,79678
train,1297,8,79678
train,1298,12,79678
train,1299,6,79678
train,1300,7,79678
train,1301,9,79678
train,1302,18,79678
train,1303,14,79678
train,1304,7,79678
train,1305,8,79678
train,1306,11,79678
train,1307,22,79678
train,1308,12,79678
train,1309,11,79678
train,1310,19,79678
train,1311,19,79678
train,1312,15,79678
train,1313,8,79678
train,1314,9,79678
train,1315,7,79678
train,1316,10,79678
train,1317,8,79678
train,1318,10,79678
train,1319,10,79678
train,1320,13,79678
train,1321,14,79678
train,1322,8,79678
train,1323,16,76968
train,1324,15,76968
train,1325,12,76968
train,1326,10,76968
train,1327,14,76968
train,1328,10,76968
train,1329,14,76968
train,1330,17,76968
train,1331,19,76968
train,1332,17,76968
train,1333,9,76968
train,1334,8,76968
train,1335,10,76968
train,1336,15,76968
train,1337,9,76968
train,1338,8,76968
train,1339,8,76968
train,1340,7,76968
train,1341,12,76968
train,1342,12,76968
train,1343,10,76968
train,1344,14,76968
train,1345,12,76968
train,1346,9,76968
train,1347,12,76968
train,1348,10,76968
train,1349,9,76968
train,1350,11,76968
train,1351,9,76968
train,1352,14,76968
train,1353,15,45169
train,1354,15,45169
train,1355,10,45169
train,1356,11,45169
train,1357,13,45169
train,1358,14,45169
train,1359,12,45169
train,1360,11,45169
train,1361,13,45169
train,1362,11,45169
train,1363,16,45169
train,1364,13,45169
train,1365,5,45169
train,1366,15,45169
train,1367,14,45169
train,1368,16,45169
train,1369,13,45169
train,1370,8,45169
train,1371,12,45169
train,1372,13,45169
train,1373,9,45169
train,1374,17,45169
train,1375,7,45169
train,1376,12,45169
train,1377,21,45169
train,1378,15,45169
train,1379,11,45169
train,1380,12,45169
train,1381,12,45169
train,1382,12,45169
train,1383,15,45169
train,1384,14,45169
train,1385,8,45169
train,1386,7,45169
train,1387,9,45169
train,1388,9,45169
train,1389,16,45169
train,1390,11,45169
train,1391,9,45169
train,1392,10,67357
train,1393,16,67357
train,1394,13,67357
train,1395,9,67357
train,1396,13,67357
train,1397,13,67357
train,1398,18,67357
train,1399,6,67357
train,1400,8,67357
train,1401,13,67357
train,1402,17,67357
train,1403,11,67357
train,1404,16,67357
train,1405,9,67357
train,1406,19,67357
train,1407,9,67357
train,1408,17,67357
train,1409,28,67357
train,1410,26,67357
train,1411,26,67357
train,1412,10,67357
train,1413,17,67357
train,1414,14,67357
train,1415,15,67357
train,1416,19,67357
train,1417,16,67357
train,1418,14,67357
train,1419,16,67357
train,1420,14,67357
train,1421,10,67357
train,1422,8,80060
train,1423,16,80060
train,1424,10,80060
train,1425,17,80060
train,1426,11,80060
train,1427,16,80060
train,1428,15,80060
train,1429,7,80060
train,1430,8,80060
train,1431,14,80060
train,1432,16,80060
train,1433,11,80060
train,1434,8,80060
train,1435,16,80060
train,1436,13,80060
train,1437,17,80060
train,1438,15,80060
train,1439,14,80060
train,1440,15,80060
train,1441,14,80060
train,1442,13,80060
train,1443,10,80060
train,1444,10,80060
train,1445,22,80060
train,1446,12,80060
train,1447,9,80060
train,1448,12,80060
train,1449,20,80060
train,1450,9,80060
train,1451,17,80060
train,1452,8,34953
train,1453,8,34953
train,1454,12,34953
train,1455,26,34953
train,1456,8,34953
train,1457,6,34953
train,1458,19,34953
train,1459,16,34953
train,1460,8,34953
train,1461,15,34953
train,1462,6,34953
train,1463,8,34953
train,1464,11,34953
train,1465,8,34953
train,1466,7,34953
train,1467,20,34953
train,1468,10,34953
train,1469,8,34953
train,1470,6,34953
train,1471,8,34953
train,1472,11,34953
train,1473,19,34953
train,1474,8,34953
train,1475,13,34953
train,1476,7,34953
train,1477,9,34953
train,1478,8,34953
train,1479,11,34953
train,1480,12,34953
train,1481,15,34953
train,1482,12,44079
train,1483,14,44079
train,1484,13,44079
train,1485,13,44079
train,1486,12,44079
train,1487,18,44079
train,1488,16,44079
train,1489,14,44079
train,1490,17,44079
train,1491,14,44079
train,1492,10,44079
train,1493,14,44079
train,1494,13,44079
train,1495,9,44079
